date/iso,value,value with 10% randomization
6/21/16 2:13,0.037,0.03391
6/21/16 12:31,0.055,0.05928
6/21/16 14:21,0.313,0.32666
6/21/16 14:28,0.024,0.02504
6/21/16 14:31,0.022,0.02155
6/21/16 18:57,0.037,0.03872
6/21/16 19:03,0.048,0.04726
6/21/16 19:10,0.045,0.04762
6/21/16 20:58,0.123,0.13113
6/21/16 21:14,0.041,0.03844
6/21/16 21:16,0.034,0.03418
6/21/16 21:19,0.031,0.03355
6/21/16 21:36,0.412,0.39426
6/22/16 1:00,0.095,0.08686
6/22/16 1:14,0.07,0.07453
6/22/16 1:29,0.035,0.03705
6/22/16 1:52,0.018,0.01807
6/22/16 2:15,0.033,0.03258
6/22/16 2:18,0.204,0.19395
6/22/16 2:20,0.093,0.09278
6/22/16 2:49,0.152,0.15899
6/22/16 2:51,0.051,0.04982
6/22/16 3:36,0.212,0.21138
6/22/16 3:41,0.2,0.19281
6/22/16 3:48,0.02,0.01997
6/22/16 12:17,0.053,0.05452
6/22/16 13:25,0.018,0.01967
6/22/16 13:46,0.139,0.15187
6/22/16 18:02,0.212,0.21902
6/22/16 18:05,0.024,0.02471
6/22/16 18:07,0.036,0.03833
6/22/16 18:15,0.06,0.05618
6/22/16 18:18,0.026,0.02393
6/22/16 18:21,0.028,0.02726
6/22/16 18:31,0.021,0.02089
6/22/16 18:41,0.022,0.02054
6/22/16 20:50,0.218,0.22901
6/22/16 21:06,0.106,0.11337
6/22/16 21:07,0.062,0.06132
6/22/16 21:10,0.035,0.03685
6/22/16 21:19,0.27,0.27845
6/22/16 21:41,0.044,0.04088
6/22/16 21:47,0.029,0.02658
6/22/16 21:57,0.029,0.03
6/22/16 22:13,0.061,0.06108
6/22/16 23:27,0.032,0.02959
6/22/16 23:34,0.061,0.05649
6/22/16 23:34,0.017,0.01674
6/23/16 3:15,0.112,0.10548
6/23/16 3:19,0.171,0.18727
6/23/16 3:26,0.144,0.14343
6/23/16 5:32,0.056,0.05242
6/23/16 6:17,0.066,0.06997
6/23/16 12:33,0.052,0.05651
6/23/16 13:14,0.069,0.06401
6/23/16 13:29,0.088,0.08167
6/23/16 13:29,0.313,0.2973
6/23/16 16:29,0.062,0.05874
6/23/16 16:30,0.055,0.05892
6/23/16 16:51,0.056,0.0541
6/23/16 16:54,0.038,0.03633
6/23/16 16:57,0.043,0.0437
6/23/16 17:07,0.028,0.0304
6/23/16 17:42,0.037,0.0377
6/23/16 17:47,0.061,0.06024
6/23/16 17:48,0.04,0.04381
6/23/16 17:51,0.03,0.03219
6/23/16 17:54,0.046,0.04816
6/23/16 18:00,0.051,0.05063
6/23/16 18:33,0.085,0.07738
6/23/16 18:47,0.372,0.34213
6/23/16 20:01,0.021,0.0227
6/23/16 20:01,0.03,0.03169
6/23/16 20:09,0.031,0.03409
6/23/16 20:15,0.05,0.04534
6/23/16 20:22,0.03,0.02825
6/23/16 20:39,0.04,0.03684
6/23/16 20:54,0.035,0.03205
6/23/16 20:55,0.036,0.03786
6/23/16 21:10,0.062,0.06077
6/23/16 21:13,0.02,0.01908
6/23/16 21:15,0.02,0.01972
6/24/16 0:16,0.025,0.02322
6/24/16 0:18,0.022,0.02073
6/24/16 0:51,0.077,0.07926
6/24/16 0:53,0.03,0.02954
6/24/16 0:54,0.034,0.03116
6/24/16 0:55,0.035,0.03189
6/24/16 1:02,0.017,0.01641
6/24/16 1:03,0.032,0.03518
6/24/16 1:06,0.041,0.03811
6/24/16 1:07,0.022,0.02288
6/24/16 1:12,0.024,0.02438
6/24/16 3:56,0.375,0.40482
6/24/16 4:08,0.026,0.0284
6/24/16 4:59,0.129,0.13247
6/24/16 5:16,0.049,0.05103
6/24/16 12:33,0.05,0.05353
6/24/16 12:54,0.122,0.1171
6/24/16 12:55,0.038,0.03736
6/24/16 22:40,0.335,0.3434
6/25/16 0:41,0.255,0.23058
6/25/16 0:46,0.029,0.02688
6/25/16 1:00,0.056,0.05395
6/25/16 1:08,0.046,0.0417
6/25/16 1:14,0.071,0.06425
6/25/16 4:43,0.032,0.02989
6/25/16 5:14,0.067,0.06423
6/25/16 5:16,0.048,0.04861
6/25/16 5:17,0.038,0.04171
6/25/16 5:18,0.027,0.02686
6/25/16 5:35,0.033,0.03569
6/25/16 5:40,0.064,0.06119
6/25/16 5:44,0.045,0.04718
6/25/16 13:50,0.134,0.13722
6/25/16 16:42,0.068,0.06516
6/25/16 18:26,0.055,0.05733
6/25/16 18:47,0.075,0.07364
