date,temperature
6/14/16,
6/15/16,97.46
6/16/16,96.77
6/17/16,96.71
6/18/16,97.31
6/19/16,96.7
6/20/16,96.76
6/21/16,96.45
6/22/16,
6/23/16,
6/24/16,96.75
6/25/16,97.1
6/26/16,96.66
6/27/16,96.32
6/28/16,96.89
6/29/16,96.74
6/30/16,96.71
7/1/16,
7/2/16,
7/3/16,98.21
7/4/16,
7/5/16,96.37
7/6/16,97.25
7/7/16,97.18
